"Compiled from boardgamegeek.com by Matt Borthwick",gameID,rating,comment
39803,25613,7,"I enjoy this a great deal, it's a civ game that works on one level-- resource management. It lacks a sort of epic 'feel' I'd expect from a game about the rise of a civilization, there's no 'drama' in it. That having been said, it's good at what it does, and has a decent amount of interaction and some good opportunities for conflict. My other main problem tends to be 'runaway leader' syndrome, it can be impossible to recover if you've taken a beating. Experience may win out over that issue, and I'm certainly willing to play a few more times to see if that's the case."
19827,96848,8.9,"Very cool if somewhat time consuming. Puzzle-like adventuring."
14263,2842,6,"Good game for introducing people to gaming hobby. Plays fast and is not anyhow complex. "
66970,107529,7,"Players are expanding their kingdoms across a hex map of differing terrain.  Simple game where players reveal a terrain card, and must place three of their 40 houses on that terrain - one house (only) per hex.  As houses touch certain hexes, bonus action tiles are earned, allowing extra placements per turn, accelerating the game.  The game ends when someone has placed all their houses, and scores are tallied based on 3 scoring cards randomly dealt from a deck of 10 at the beginning of the game.  Very simple game in terms of mechanics, but has a pleasant ""meaty filler"" feel to it - plays fast, makes you think a little, a little bit of risk and luck involved, but doesn't make you flip the table in anger if it doesn't come off!  The eight map boards and different scoring card combinations keep things interesting and re-playable.  Worth a look."
48697,125618,8,"So simple that even my parents-in-law like it. I love how it makes everyone at the table feel clever when they outguess each other."
186512,181,7,"as long as you understand that this is a dicefest with some diplomacy involved, all is well!"
119849,155703,7,"Better than I thought it would be, honestly.  Kind of fiddly at times (particularly when handing out new species), and the rules really need a FAQ or a few examples, but it is fun, fairly simple to teach, and beautifully illustrated.   Can imagine it would become kind of routine after multiple plays, though, since there seems to be a few trait combinations that are VASTLY overpowered.  Overall, not awful.  "
142703,105134,8.5,"I hate Risk, but this game is impressive!"
36494,147020,7.5,"This is a great first deckbuilder -- the randomized trade row makes it less strategic and more reactive and tactical than Dominion-style deckbuilders, but the short length of the game means that it's not awful if you lose to card draw. Balance between the suits is questionable, but again, for a game this light I'm not sure how much that matters. I have a few of the blister pack expansions."
46288,36218,7,"It is a fun game but honestly I feel like it is over hyped and I would recommend trying a different deck builder"
128947,12333,7,"Wow. So much going on here. Not for the faint of heart."
175345,31627,6,"Not really new for me compared to Ticket to Ride: Europe."
127700,97842,7,"They need to remake this movie - ""Brewster's Billions""."
153306,37111,10,"With expansions  :) Awesome use of theme :) Hidden traitor mechanic is second to none :) Always fun :) Tons of characters to play :) Games always come down to the wire  :!block: - Long :!block: - Needs right group :!block: - Expansions are a mixed bag  :soblue: Hard to teach newbies :soblue: Lots of rules to remember "
55287,101721,8.6,"Depth-⭐️⭐️⭐️⭐️ Components-⭐️⭐️⭐️⭐️ Art-⭐️⭐️⭐️⭐️⭐️ Theme-⭐️⭐️⭐️⭐️ Replayability-⭐️⭐️⭐️⭐️⭐️  2016: Top 100 #40  Own 2x Copies"
189151,15158,6,"Really changes the dynamics of the game.  I will not want to play this every time I play Carcassonne.  "
30983,3076,9,"The one that started it all for me. If this game wasn't so damn good I wouldn't have blown so much money on all these games!"
30955,59959,7.5,"I really enjoy this hidden movement game. It plays very differently from Scotland Yard, which, while fun, can drag a bit. The pre-kill bluffing/planning phases add a nice element to the gameplay, and the multiple night phases allow for some really interesting strategy (spend a couple of nights finding the trail, then extrapolate and start trying to catch Jack). The game rules come with balancing variants that can handicap both Jack and the Police and make it easy to balance for various player strengths."
39413,157354,9,"I'm in love with this game. I can't point my finger on it. The mancala-mechanism is fun. You almost never have a bad turn. This might become a 10, we'll see how much I still love it in a year time."
124622,8217,6,"After Puerto Rico, I was disappointed with this.  Didn't feel like there were either enough roles, or variety in cards, or something.  Still, it's not bad, either.  Setup is a lot easier than Puerto Rico.  I'd play Race for the Galaxy over this every time, though."
106176,201808,8,"a great time. press your luck against your friends in a deck builder."
160279,14996,9,"Simple yet brilliant. Enjoy both the route planning and set collection. Maybe played it a little too much (8 plays listed is probably about a tenth of the real number)"
43878,24508,7.5,"Abstract game with wonderful components. Looks absolutely beautiful when finished."
134158,4390,9," have played ~40 games. The bonus tiles are my favourite part of this game. I feel the graphics aren't as clean as the original, but the scoring is certainly more intuitive. And for some odd reason, I get really excited when I get mushrooms! I think this is the best game of the series."
36654,3076,7,"I see why this game gets such a great rating.  I have been playing it a lot on pr-game.com and also face to face when possible.  The different roles that can be selected.  Competition for limited resources, different paths to victory and rotating turn sequence all make this a fun and challenging game."
43633,39856,6,"good party game, the art is great and I prefer the voting tokens to the pegboards in oddyssey"
18903,2223,5,"So-so game for me, but I keep it around as a warmup to play before I introduce a gateway game."
88969,37111,8,"It's a top game among cooperative bluff games. Especially betrayer will be revealed in the middle of game. Awesome!!!"
119668,2452,6,"Fun with kids, although we discovered it puts dings in cheaper wooden or veneered surfaces."
79642,9209,6,"Great to play with kids or to teach people new to games.  Like TTR Europe a little better"
163681,178900,10,"Nothing to say, sales figure showing everything"
11622,65244,7,"Not bad, a lite version of Pandemic. I'll keep this one for when the kids get older. Is a great travel game."
184333,140620,9,"Really liked the flow of this game - no waiting for players to exhaust their actions. Good level of complexity, easy to learn, and fantastic instructions / card descriptions."
164978,24068,8,"This is one of my family favorites.  The werewolf type game allows for an interesting mix of characters that is always fun to play.  the best part is that point in the game where everyone figures out who each other is.  Then the real chaos begins."
15701,39683,4,"played: 3"
2825,37904,10,"Nice game!"
146086,59946,4,"Played 2x, promptly packed off for trade.  Traded for Roma and Cleopatra and the Society of Architects.  10/26/10"
159742,127398,7.9,"Very puzzly great game. Still have a expansion unplayed. First kill dragon, so hard."
7074,13004,7.5,"Acquired June 08 - Light Gateway game, best 3-4 players.  First play and it was a big hit.  We all had hoots of fun in this light Euro, screaming as we burnt the inhabitants of Pompeii in the lava flows.  Eager to try it with my children as well."
111426,478,6,"Seems better with small numbers of players.  I would rate it lower for large games."
108016,926,5,"when a game last for 3 hours... Way too long should only be played with experienced player of catan"
42121,12,10,"The best auction game around. On top of that, it plays great with only three and is always a short but tight affair. The combination of risk management and constant evaluation of the lot makes this an absolute winner. Oh, and I really like that you're also bidding for what the winner of the previous auction bid."
153509,54998,9,"Some auction, some civilization building, some Risky conquest and a Kraken. Perfect."
130957,39463,9,"Proof that great games stand the test of time.  To mix things up add the expansions.  All of them.  "
103692,6249,8,"This is a really good tile placement game with a gambling-like element (is it worth it to over-spend now for a tile, or should I wait and risk losing it?). I wish it played faster. I don't think the decisions are difficult enough to justify what always ends up being a long play time."
193004,172386,9,"My pick for game of the year 2015.  The action selection mechanic with the multiple discard piles is quite innovative and one of the most clever mechanics I have seen in any game.    This game could be a 10 to me if not for some of the luck related to how the books come out, making that strategy seem too risky.  If it falls into place just right, the book track is extremely powerful - more powerful than any other strategy, but that's the problem, you simply don't know how the books are going to come out, and early investment into books that eventually stalls out can leave you feeling like you'd rather have taken the $$ instead.  Nonetheless, the book track is much more solid than some would lead on based upon a lot of the criticism I have encountered for that particular track.  I think it has some flaws, but it is much better overall than most seem to give it credit for, and you ignore it at your peril if someone else is poised to capitalize on it.  Nonetheless, Mombasa makes its way solidly into my top 10 of all time, and it ranks as my #1 Pfister game (yup, ahead of Great Western Trail, which I think is another great game)."
144863,68448,10,"I really enjoy this game. It comes over first time as a little complex, due to the number of symbols on the cards, but one play through is all it takes to grasp the game.  I like the quick drafting style of card selection that brings in resource collection and construction in a nice easy manner.  I prefer the game on it's own, without expansions, which is why I've never picked any of them up.  I rate this a 10 as I've never not enjoyed it, whether it's been 3, 4, 5, or 6 players. I can't see there being a time I would turn down playing this."
87350,822,6,"Classic game, although I prefer more recent variations on the game (The City, The Discovery)."
98822,70323,8,"After a couple games I was a bit disappointed. It seemed like going to Tokyo made no sense at all since everyone would just beat you. But that was because everyone was rolling for attacks dice, we thought everything else was useless because 20 points seemed so far... But if everyone is aggressive then it's better to just roll for points and avoid attacking at all! But as more people start to roll for points then you're better of in Tokyo because nobody attacks you anyway!  I like how you need to adapt your strategy to the state of the game. There is much more depth than one might think."
129208,163412,8.9,"Awesome game, highly recommended."
96722,25613,7,"Essen 06 Radar.  This is a great game with a really good sense of development.  I played the advanced (but not full) game.  Some card combinations might be overly powerful, but I hope it gets a few teaks before the rumored full production run (finger crossed).  My opinion of the game is higher than my rating would indicate simply because the length would prevent me from wanting to play it too often.  I haven't played Civilization, so Parthenon is actually the closest relative to this game that I have played.  They both have a similar feeling of growth and progression, but while Parthenon is very symmetrical and growth is more limited, the selection of cards makes this much more free form and open ended.  That also means is has the potential to be unbalanced, but that didn't happen in our game."
72680,24480,6,"I enjoy the game and would be glad to play it again.  My wife is getting me the book (900 pages) for Christmas. I will see if this gives me a greater appreciation for the game."
120581,822,8,"Classic tile-placing game which plays great with 2 players and is also suitable for your female company.. When the Inns&Cathedrals and Traders&Builders expansions are added, the game gains the complexity needed to make it exciting!"
151321,43111,9,"Sleeved with Mayday Chimera and Chimera Mini."
133754,43570,8,"Fun, but extremely frustrating.  I have about half a dozen plays and am still nowhere close to beating this, even on easy.  Plus I don't know what I'm doing wrong or how I can improve."
60902,475,9,"This is a fantastic game that is coming off the shelf more often despite a rough first play.  The multiple ways of scoring, the poker-like auction mechanism, and its all around high quality combine for a great, fun game.  Though the leader can really run off if no one can compete in the right cards, and in a five player game there's bound to be someone stuck WAY behind, it's still very fun. Not as crazy about it as 3 or 5 player."
138601,2453,5.94,"Need to try"
47459,173,7,"Very fun, fast-paced and unpredictable game!"
136872,136063,5,"A more chaotic version of Forbidden Island."
6455,475,9,"Knizia does it again. I love the bluffing element in the game. You really have to know when it worth it to keep going or simply just pull out."
109096,34499,8,"It's not an extensive expansion, but its addition of public goals and new cards serve to round out the sets and provide direction.  "
125745,1345,6,"Overall, a very good trading game.  Unfortunately, the theme is the standard trading goods in the Med.  This game screams for an update or at least taking the trading/negotiation part of it and moving it into a more modern theme."
20667,11,7,"Fun little trading game.  Often feels like you have very little control over what is happening, but not being able to re-arrange cards means advance planning is needed.  I often find myself making trades that seem to be balanced in favour of my opponents just to keep from having to blow up my own fields."
74323,69789,5.5,"Found this game rather flat, once you make a decision on strategy at the beginning of the game, you are rather locked into it with no chance at changing strategies"
39716,70323,10,"This is a great quick, easy to learn and fun game. I play with my 5 and 8 yr old boys. I've recommended it to other Dads that have young kids. Excellent game."
25442,169786,9,"Got Hooked at Essen 2015 Backed on Kickstarter"
23641,176396,7.75,"This is my favorite Days of Wonder game. As far as city building, I enjoy Suburbia more, but I find the scoring in Suburbia to be incredibly irritating since you have to do it every time you place a tile, and it interacts with itself, neighboring tiles, other tiles in your suburb, and other tiles in other people's suburb. Basically I like it best at 1 or 2 players. Quadropolis streamlines the entire system. Don't bother with the classic version, jump straight to the Expert version, and boy did it scratch my brain in a good way, without taking 20 minutes to explain. Loved it. Glad it's in my collection."
84963,215,9.5,"Extremely good partnership game, where you place sets like poker hands.  It's not all about getting out first though, there are points in the cards and you need to help your partner too!"
162128,113294,9,"Great 10 min game. Always wanting to play another one ...and another and another!"
54981,2381,6,"x  Good party game."
2462,21523,8,"Perhaps the King of ameritrash. Have not even attempted this with a group as I fear they may react ala AH (see my comments above) Solo this one when I'm in the mood. Does get a little long in the tooth and I find myself getting impatient near the end. Never the less, it's a keeper."
146848,121921,9,"Very good co-operative game (also playable solo, but I never tried it). Encourages planning in advance and is very satisfactory when our previous moves just come together nicely in the later phases. Sometimes you get the feeling you're going to lose the scenario, only for a couple favourable decisions to turn the game on its head to give you the great feeling of accomplishment. Takes some time to prepare though and the game time may exceed 2+ hours."
60780,37111,7,"Pros - The theme fits great with BSG and works. The mechanics make sense with the theme. - Different characters and Cylons add variability - Cool Viper ships - Brings out accusations  Cons - It can get long and a little straight up whenever the Cylons are known - Plays best with 5 or 6 (without sympathizer), and doesn't work with the rest - Longer game to teach - Most people will not be into it as much if they haven't seen the show - Revealed cylons don't have much to do in the base game once revealed - Going through the motions whenever every player is revealed  Sold/Traded because: - Too long for my group - Not enough of my friends have seen the show - Needs 5 or 6 people to play  - The Resistance does it better, is more accessible, shorter, and scales better. "
130960,432,6,"nice little filler game, too much and it gets old quickly"
157814,188,8,"Pick a stone, place it and try to enclose as much territory as you can. That are the rules of Go without entering in special situations or scoring. The rules are terribly simple to teach, but this simplicity hides an incredibly complex and taxing game.  Are you looking for a brain burner? Don't mind if it's an abstract or, even more, you prefer it? Then you must play Go. Magnificent strategy game with an extremely complex structure. Once you have give it a try you might like it or not, but isn't difficult to understand why this one has been alive for so many years.  The problem with this game is the same that chess, shogi and all those classic heavy games: it has been overstudied, so if you don't find opponents of your level one player will consistently trample the other.  Rating: :star::star::star::star::nostar:  [i]For more information on how I rate games, [geekurl=/user/Kodeir]go to my profile[/geekurl][/i]"
184036,158899,6,"Bonus for most shots fired too big imho"
191902,9209,8,"Another excellent light game, a solid in my collection."
12109,2452,4,"A game of physical skill and spatial awareness.  Unfortunately, I seem to lack the steady hand required to play the game."
130853,188,6,"Not very good, way more complex than chess, and I don't have the patience learn the strategies to play against more than a very casual player."
84156,157354,9.7,"Preliminary Ranking - need more plays b{ Expansions: + [gameid=176677] (2015) }b"
28784,1406,8,"In Storage  Wedding Copy"
121685,129437,5,"I'm not a huge fan of semi-coop games, and it kinda felt that this was watered down Dominion. Still, I'm sure there's an element of skill, and I think I need to play it once more to see if I like it or not."
19252,150376,8,"Need to get ""The Long Night"" sometime soon."
30115,34635,8,"Great game, this game is light enough to attract non-gamers and thought provoking enough to entertain the hard core gamers.  Nice mix of mechanics that keeps one interested throughout the game. Some say this is very similar to Pillars of the Earth, even though it has similar mechanics I don't see the consistent comparisons.  This is like comparing ""Gangster"" (game id: 31621) to ""El Grande"" both area control, but Gangster sucks and El Grande doesn't."
61726,8203,8,"Setting up stinks, but it is a fun lite game that plays 2-4 players.  The version I have also comes in a tiny box and travels well.  It is a good filler game.  Imagine setting up a checkerboard where you have to setup each square.  That is what setting up the game feels like more or less."
89676,39683,7,"Read the instructions several times before my first play. There is some player interaction, but for the most part a majority of the game goes independently from player to player. I think I like it, but I will need to play more games before I can say for sure. It is a game of planning and converting resources."
65755,50,6,"This was a finalist for my choice of a ""coloured cards with numbers"" game (along with Schotten Totten).  But no, it was not to be.  I think, like Schotten Totten, that there are not enough decisions to make here.  Sure, you make some decisions on when to start an expedition, but once the cards are down you're just locked in and waiting to see whether or not you get the cards you need.  Then its just luck of the draw: will you get the cards you need, or will your opponent?  Will you get them at the right time?  I will say that I like that the game forces you to do something every turn; you can't just camp out until you get a perfect hand (like in Ticket to Ride or something).  And I also think the game is actually quite thematic.  For now, Arboretum will be my ""coloured cards with numbers"" game.  It has so many more tough decisions at all stages of the game."
178797,278,6,"I like this game when played with a few house rules to speed it up a bit, 1) replace d6 with two better quality d6 and roll them both and collect both resources 2) stack cards in colors face up 3) yellow cards can be played straight away 4) remove all knight and attack cards 5) change the event die: 2 sides Event, 2 sides windmill: 2 sides year of plenty "
92127,146021,7,"This one seems to take a long time. I've played with six and seven players. Didn't finish the six player game. The seven player game took more than nine hours. Maybe it plays faster with smaller groups? Still a lot of fun, if your friends are up for the commitment!"
56327,48726,6,"Dice chucking and area control in spaaaaace! I totally dig the retro sci-fi vibe. Unfortunately, the game has not aged well. I recommend playing with a max of 3 players, as there is a lot of downtime between turns, and the game runs long. Additionally, the resource stealing aspect of the game can be off-putting to many players."
38862,36218,7,"I traded for a copy. Looked in the box, saw all those endless rows of sorted cards and quietly put it away. Got the rules out a while later, didn't really gel on what the game was about, put it away again.  Finally I discovered an online verion at goko.com, and after watching the bots cream me a few times it finally clicked. What a neat game it is. I had never encountered 'deck building' before, and now that I know what it is, it is very well executed. Of course familiarity with the cards would help tremendously with long term strategies, and I haven't played it enough to know if any of those strategies are pretty much 'givens' or not.  Also, there are a *lot* of cards. *Lots* and *lots* and *lots* of cards. And the endless recycling of the decks, the ever longer chains of action cards...I honestly can't see myself wanting to do it with real cards. :) So I'll be sticking with online play for this one. "
97916,48726,10,"This is probably my current favorite game.  Easy to learn, awesome components, buy it."
119891,40692,7,"In this reworked version of Vinci, which came out in 1999, players choose a combination of race (e,g, elves, dwarves, amazons, trolls, etc) and ability. One then attempts to take over territories and fight other races, and then one can decide to put their race in decline, and pick a new race.  I think it is better than Vinci. I like how there is a different map for the number of players. The powers and combinations are unbalanced, and a lot depends on if your opponents attack you. That said, it's a fun game, just don't try to take it too seriously."
175137,18,8,"Great when there's a lot of player-player interaction."
186500,478,7,"Fun to play with those who plan ahead."
92276,158899,7,"Very easy to play programmable action game.  Nicely thematic, looks great, and creates laughs all around."
130258,3,7,"I don't like 'pasted on' themes. Played once around ?2006. Would like to try again. "
41170,34635,8,"Received July 2008  Fast paced romp with multiple paths to victory. You can block the hell out of other players options during worker placement.  Includes dice as a randomizer accomplishing the same need as that found in Thebes.  As you do with knowledge when digging in Thebes, you work to increase your chances of success but putting more cavemen in an area and then roll the number of dice equal to the number of committed workers.  Also, collecting and using ""tools"" can alleviate some of the pain of a bad rolls as they allow you to adjust the roll of the dice.  Easy to learn (only three simple steps on each turn).  Took a bit for some of the guys in my group to catch onto the iconography but in general it's pretty consistent and straightforward.  Had to cut slots into the insert to lower the individual player boards which allows the box to close properly.  "
35933,2987,6,"Fun game with lots of good theme. Who doesn't love Pirates? Strategic play suffers from tons of player chaos. Players who don't have to fight other player early in the game can build a huge lead.  July 2007  Update: I find this to be a great gateway game. It's fun and interesting, yet doesn't require a whole lot of thinking. Good game to play with the occasional drop-in non-gamer."
178154,33160,7,"Usually a close game, but pretty dry.  The conflict has tended to decide the game.  A player that is targeted more often is put out of contention."
82463,137297,6,"Roman bingo. I liked it - good end-of-the-night game, I thought."
62508,172386,9,"I've never had such a hard time learning a game and yet enjoyed it so much.  Our first play was brain melting and delicious all at the same time.  A superb design that plays remarkably well with just two.  I can't wait to play this one again."
139316,113294,6,"Nice real-time game, but it's not the kind of games I enjoy the most. I guess I would play it from time to time, but there are tons of things I would choose over this one at any given time."
57527,41114,4,"Why would get this when Avalon's the same price and more game?!"
181609,7717,9,"An interesting tile game. It has some decisions to be made, but never bogs down. Easier than vanilla Carcassonne, and maybe more dependent on luck with the tile mechanism. The tile mechanism does add an extra tactical element to the game though. I've had to bump this up to a nine, after dozens of plays it's really kept my interest. "
138427,2397,7.5,"I have played this one my whole life, love it.  I won a lot of $ and other stuff while in college on this one.  "
77972,463,3,"Never again."
9886,15062,3,"I was really looking forward to this game from the comments and reviews, but when we played it with 7 players it just didn't seem to work very well.  I think it may just have been my expectations going in - I was expecting some sort of RPG-like game where the knights gained better powers and skills as the game progressed.  Instead it seemed fairly helter-skelter in that all the quests were going on at the same time and after we rushed out to win the grail quest the despair cards kept adding catapults (our catapult die rolling was horrid, too - mostly 7s and 8s); we ended up losing after the special black card Morgan caused 4(!) catapults to come out in one turn even though all 9 swords on the table at the time were white.  It's possible I just expected different things and didn't have a strategy going in that made me not enjoy this game as much.  I'd be willing to give it one more shot, but it was definitely not what I was expecting."
88098,10630,6,"I prefer Battle Cry and C&C: Ancients to this one. "
15522,2807,5.5,"There's better games to be played when you have 5 or 6 players handy.  Settlers shouldn't take over an hour to play."
57176,15987,7.5,"Very thematic, sprawling game.  The level of engagement depends entirely on the quality/mood of the players.  Mechanically it is quite simplistic, but compensates for that with theme, character and atmosphere.  A must if you are a Cthulhu fan, but not for you if you dislike co-op games or dice-fests"
53943,9674,6,"Ingenious is a nice fast tile-laying game and I enjoyed it and would play it again.  I didn't like the frequent tile-dumping and found that counting points at each tile-play was a little inelegant.  But for such a quick, clever game with great components, its really minor criticisms.  I don't think I'll buy it though.    "
71413,91312,6,"I love Discworld, and this uses the license and characters really well.  A good, but not great game."
26808,163412,9,"Love playing this game"
61253,12333,9,"Awesome use of cards to simulate the cold war and the ""arms race"" mentality. "
19035,161936,8,"OMG this is fun!  Played through 2.5 mos. so far.  Having a blast.  update:  played through July and still going strong.  Game really challenges and surprises at every turn.  update:  whoa! this is kicking our butts and blowing our minds.  Only two months left. "
174753,103885,7,"Not sure I have or intend to get enough mini's to give this justice, but it would be awesome if I had 100 sets"
123087,2471,5,"The game is fun to play. Yet it takes too longe for a game of this calliber. "
74206,133038,7,"Pathfinder ACG is a condensed version of the RPG. It excels at capturing the health, items and abilities through a deck builder all within a solo / coop experience. The location decks generally feel unique and thematic.   The constant dice rolling against checks can get a bit monotonous. Also, the difficulty on this version is a bit on the easy side. Many of the challenges and monsters you can just beat your way through.  Last gripe is that it feels like the players are just playing individual solo games and can't (really) interact much on other players' turns.  It's a great attempt at RPG / Card Game hybrid and look forward to playing many of the different versions."
143716,24480,8,"Simple worker placement with beautiful artwork by Menzel. "
187783,50,7.5,"Count me among the ""it's a game my wife will actually play"" crowd.  I love the strategy involved and the art really makes it."
90863,18,8,"I have liked the idea of putting my 8-9 graders play this with 6-8 players during the last classes of the year in my computer science class.  Fast to learn, chaotic with many players. Have to play the harder maps too before I can say anything more about this."
179345,4390,4,"My first and probably last Carcassonne game. Did not enjoy. Seemed illogical and not very fun."
150316,8217,8,"Half a point more enjoyable than Puerto Rico"
137143,34119,7.5,"Aimless wandering has never been so fun! My wife really got into it. The occasional encounter error does occur (our first game saw my wife have to commandeer a ship in the middle of the desert!) but you overlook it. Definitely to be enjoyed with a glass of wine!"
159389,34219,7,"Bought this on reviews alone. One of the few games I have purchased without playing it before. After playing it with two and three players I really like it. I can hardly wait to try the four player game."
165273,54,8,"Very good game if you don't mind learning a lot of rules! A typical 'discovery game' with a lot of possibilities..."
36041,9220,6,"Nice filler. We've enjoyed playing it even more after we've gotten the hang of better winning strategies."
6738,11,8.5,"Great game when you want something fun, but light.  Good game for non-gamers."
166579,37111,8.4,"The cylon/traitor mechanic is perfect. Why isn't it very interesting in Shadows over Camelot? The rest of the game is probably less interesting from a design or game mechanics standpoint, although the crisis management feel is stronger, more panicked. "
119655,27162,6,"Pretty good but flawed entry-level game. Nice for family play. Designers take note: If you design a game in which higher dice rolls are preferable to lower ones, do not count on the luck to even out, especially over only 15 rolls. The luckiest dice roller should win this game. A few mechanisms attempt to mitigate the effects of luck, but later games do the job better. "
18180,822,7,"My rating as of right now, when I bought it, it would've rated slightly higher (8-9) range.  Too many plays later, I guess?"
16861,34635,7,"One of my current favourite games.  As with Settlers, the dice add randomness that you can mitigate with smart playing.  "
36630,33160,7,"Sleeved: Swan Panasia Games, 45x70mm, Thin [48]"
93589,96848,10,"My absolute favourite game. Everything about it is so perfect. The only downside is that I don't get to play it more."
125417,188,10,"Go is a game that I would love to master over a life time.  There are times when playing, you play a piece simply because it feels right as opposed to knowing that its a good move.  I've enjoyed how Go combines the intuitive with the analytics of a game."
33319,104006,8,"Please set a long offer period as the trades can expire before I get a chance to check BGG."
188183,62219,8.5,"Blight is mechanically too strong, thematically fine. "
143435,34119,10,"such a beautiful game! random outcomes of the story, so you don't get rewards for being nice all the time. i like a game you can be a little nasty in :)"
38615,42,7.5,"Very good game that just doesn't see the table much (read: at all) anymore!  Took me forever to get around to playing, because the game just didn't look that interesting.  I was wrong: Very deep, lots of options and thinking to do.  "
79178,209010,10,"Debated a long time with myself if this really deserves a 10 but the truth is that the more I play it the more I love it. Production is outstanding (even if the first printing has a few typos and mistakes here and there) but really the gameplay is so much fun. Having a blast with this right now, a solid 10 is the only rating I can give it really."
65056,2397,6,"*Jan2006* Nice glass version."
71483,111661,10,"2 - 8 Players English - independent"
187094,31481,9,"Very intricate event based concept . . . part building, part ""combat"" or ship destruction (to be more accurate).  Really, two games in one.  Not ""much"" (if any) player interaction, but still a very fun game.    Game Owned: #1045."
22042,68448,7,"Very fun, everyone enjoys this, quick and easy to teach/learn.  Awesome game"
56281,463,10,"Been playing since 1983 -- Alpha release. Probably still my favorite game. But I have to say that I do not care very much for the full-bore ""constructed"" environments. I much prefer the limited environments. My friends and I play with randomly selected PreCon decks (the theme decks from WotC - over 60 different decks to date). This is an excellent way to play. Also enjoy playing in tightly constrained environments (example: 2 starters, 2 boosters from each of the 3 expansions of that block). Awesome game!"
161742,27708,9,"Got it in a Math Trade"
120782,25669,9,"I can play this with anyone and want to play it with everyone. What an amazing game. Love it."
151012,28143,9,"Elegant and simple to play (although hard to learn and harder to master).  Great game."
88644,176189,8,"Missing Entries in BGG for ... - 3D Doors (probably an Accessory) €18 - Character Bases (Accessory) €10"
