Orden	Frec.absoluta 	 Frec.normalizada 
822.	unidad	   16,427	   107.67
823.	distintos	   16,415	   107.59
824.	suerte	   16,390	   107.43
825.	tales	   16,386	   107.40
826.	mira	   16,334	   107.06
827.	llamado 	   16,312	   106.92
828.	técnica	   16,308	   106.89
829.	título	   16,308	   106.89
830.	s	   16,293	   106.79
831.	principios	   16,282	   106.72
832.	octubre	   16,228	   106.37
833.	volvió	   16,207	   106.23
834.	período	   16,199	   106.18
835.	g	   16,194	   106.14
836.	encontrar	   16,166	   105.96
837.	democracia 	   16,159	   105.92
838.	aumento 	   16,145	   105.82
839.	fútbol	   16,137	   105.77
840.	prueba 	   16,113	   105.61
841.	consumo  	   16,095	   105.50
842.	pese 	   16,043	   105.15
843.	ocasiones 	   16,026	   105.04
844.	exterior	   15,988	   104.79
845.	solución	   15,967	   104.66
846.	u	   15,967	   104.66
847.	hija	   15,958	   104.60
848.	sueño 	   15,944	   104.51
849.	parís	   15,929	   104.41
850.	capaz 	   15,925	   104.38
851.	ocasión 	   15,924	   104.37
852.	industria	   15,902	   104.23
853.	adelante	   15,900	   104.22
854.	salida	   15,899	   104.21
855.	ciencia	   15,885	   104.12
856.	asunto 	   15,844	   103.85
857.	asociación	   15,835	   103.79
858.	puso 	   15,831	   103.77
859.	intereses	   15,830	   103.76
860.	oro	   15,811	   103.63
861.	podrá	   15,804	   103.59
862.	pregunta	   15,741	   103.18
863.	oposición	   15,736	   103.14
864.	entrar	   15,711	   102.98
865.	señora 	   15,705	   102.94
866.	señaló	   15,699	   102.90
867.	santiago	   15,697	   102.89
868.	dolor	   15,685	   102.81
869.	zonas 	   15,679	   102.77
870.	comercio 	   15,637	   102.49
871.	operación	   15,633	   102.47
872.	tribunal	   15,609	   102.31
873.	instituciones	   15,606	   102.29
874.	temas 	   15,569	   102.05
875.	militares	   15,566	   102.03
876.	junio	   15,555	   101.96
877.	marco 	   15,548	   101.91
878.	sectores	   15,541	   101.86
879.	hacerlo	   15,539	   101.85
880.	aspecto 	   15,528	   101.78
881.	razones 	   15,527	   101.77
882.	contenido	   15,481	   101.47
883.	juicio	   15,481	   101.47
884.	electoral	   15,465	   101.37
885.	considera	   15,460	   101.33
886.	tendrá	   15,431	   101.14
887.	mucha  	   15,397	   100.92
888.	voluntad	   15,394	   100.90
889.	dicen	   15,383	   100.83
890.	recuerdo	   15,382	   100.82
891.	socialista	   15,371	   100.75
892.	área	   15,369	   100.74
893.	aparece 	   15,367	   100.72
894.	vio	   15,334	   100.51
895.	cama 	   15,328	   100.47
896.	aun 	   15,317	   100.40
897.	presenta	   15,315	   100.38
898.	pp	   15,293	   100.24
899.	revolución	   15,285	   100.19
900.	busca 	   15,280	   100.15
901.	abril	   15,278	   100.14
902.	rodríguez	   15,272	   100.10
903.	fiscal	   15,265	   100.06
904.	lópez	   15,245	    99.92
905.	victoria	   15,241	    99.90
906.	violencia	   15,235	    99.86
907.	primeras	   15,226	    99.80
908.	pequeña 	   15,214	    99.72
909.	armas 	   15,153	    99.32
910.	debía	   15,149	    99.29
911.	ii	   15,123	    99.12
912.	esfuerzo	   15,109	    99.03
913.	humana  	   15,107	    99.02
914.	posibilidades	   15,090	    98.91
915.	centros	   15,076	    98.82
916.	profesional	   15,075	    98.81
917.	asimismo 	   15,048	    98.63
918.	grado	   15,048	    98.63
919.	has 	   15,027	    98.50
920.	toma 	   15,003	    98.34
921.	distintas	   14,926	    97.83
922.	material	   14,915	    97.76
923.	carne	   14,905	    97.70
924.	llama	   14,903	    97.68
925.	particular	   14,876	    97.51
926.	jorge	   14,867	    97.45
927.	trabajar	   14,837	    97.25
928.	propuesta 	   14,830	    97.20
929.	muerto 	   14,816	    97.11
930.	precios	   14,809	    97.07
931.	reforma	   14,779	    96.87
932.	hermano 	   14,736	    96.59
933.	corte	   14,735	    96.58
934.	comenzó  	   14,733	    96.57
935.	etapa	   14,716	    96.46
936.	obstante	   14,695	    96.32
937.	pone 	   14,685	    96.25
938.	diversos	   14,671	    96.16
939.	visita	   14,660	    96.09
940.	concepto 	   14,657	    96.07
941.	pacientes	   14,637	    95.94
942.	semanas  	   14,603	    95.72
943.	tipos	   14,592	    95.64
944.	solamente 	   14,520	    95.17
945.	deseo 	   14,499	    95.03
946.	sistemas 	   14,484	    94.94
947.	encuentran 	   14,482	    94.92
948.	siguientes	   14,475	    94.88
949.	martín	   14,429	    94.58
950.	suficiente	   14,414	    94.48
951.	marzo 	   14,408	    94.44
952.	propios	   14,404	    94.41
953.	jamás 	   14,371	    94.20
954.	dan 	   14,364	    94.15
955.	club	   14,359	    94.12
956.	instituto	   14,354	    94.08
957.	constitución	   14,299	    93.72
958.	curso	   14,290	    93.66
959.	lenguaje	   14,270	    93.53
960.	estilo	   14,237	    93.32
961.	rosa	   14,180	    92.94
962.	imposible	   14,178	    92.93
963.	pablo	   14,152	    92.76
964.	buscar 	   14,151	    92.75
965.	peor	   14,145	    92.71
966.	piel	   14,128	    92.60
967.	arriba	   14,085	    92.32
968.	generales	   14,073	    92.24
969.	septiembre 	   14,072	    92.24
970.	blanca	   14,061	    92.16
971.	r	   14,041	    92.03
972.	aquellas	   13,996	    91.74
973.	teoría	   13,935	    91.34
974.	animales 	   13,916	    91.21
975.	hicieron	   13,913	    91.19
976.	larga	   13,908	    91.16
977.	perdido	   13,890	    91.04
978.	imágenes 	   13,887	    91.02
979.	paciente	   13,885	    91.01
980.	conseguir	   13,871	    90.92
981.	máximo  	   13,855	    90.81
982.	noviembre 	   13,848	    90.77
983.	j	   13,831	    90.66
984.	líder	   13,830	    90.65
985.	hospital	   13,823	    90.60
986.	diversas	   13,816	    90.56
987.	rafael	   13,804	    90.48
988.	vuelve	   13,799	    90.45
989.	destino	   13,783	    90.34
990.	torno	   13,781	    90.33
991.	proyectos 	   13,773	    90.28
992.	flores	   13,763	    90.21
993.	niveles	   13,759	    90.18
994.	afirmó	   13,758	    90.18
995.	explicó	   13,751	    90.13
996.	n	   13,748	    90.11
997.	somos  	   13,727	    89.97
998.	términos	   13,719	    89.92
999.	premio 	   13,701	    89.80
1000.	tercera	   13,694	    89.76
1001.	simple	   13,681	    89.67
1002.	trabajos	   13,675	    89.63
1003.	factores	   13,674	    89.63
1004.	fuente	   13,660	    89.53
1005.	cielo	   13,644	    89.43
1006.	ambas  	   13,612	    89.22
1007.	mismas  	   13,605	    89.17
1008.	fernández	   13,589	    89.07
1009.	actualmente 	   13,587	    89.06
1010.	conocido 	   13,575	    88.98
1011.	condición	   13,573	    88.96
1012.	ejercicio	   13,542	    88.76
1013.	cree	   13,521	    88.62
1014.	par	   13,516	    88.59
1015.	ocurre	   13,510	    88.55
1016.	ti	   13,509	    88.54
1017.	espíritu	   13,491	    88.43
1018.	lengua	   13,488	    88.41
1019.	responsabilidad	   13,471	    88.30
1020.	digo	   13,455	    88.19
1021.	pérez	   13,455	    88.19
1022.	distancia	   13,446	    88.13
1023.	organismo 	   13,422	    87.97
1024.	cruz	   13,396	    87.80
1025.	evolución	   13,376	    87.67
1026.	realmente 	   13,374	    87.66
1027.	alberto	   13,371	    87.64
1028.	francés	   13,368	    87.62
1029.	novela	   13,361	    87.57
1030.	alma 	   13,357	    87.55
1031.	doble	   13,353	    87.52
1032.	anteriores	   13,350	    87.50
1033.	obtener	   13,347	    87.48
1034.	dije	   13,346	    87.48
1035.	selección	   13,345	    87.47
1036.	podido	   13,335	    87.40
1037.	nación	   13,332	    87.38
1038.	ido	   13,331	    87.38
1039.	crear	   13,289	    87.10
1040.	motivo	   13,285	    87.08
1041.	tercer	   13,284	    87.07
1042.	detrás	   13,283	    87.06
1043.	significa	   13,261	    86.92
1044.	empleo 	   13,252	    86.86
1045.	escrito	   13,247	    86.83
1046.	departamento 	   13,232	    86.73
1047.	contacto	   13,227	    86.70
1048.	casas 	   13,203	    86.54
1049.	red	   13,203	    86.54
1050.	rostro	   13,200	    86.52
1051.	oportunidad	   13,103	    85.88
1052.	procesos 	   13,098	    85.85
1053.	terreno	   13,097	    85.84
1054.	daba 	   13,096	    85.84
1055.	calles	   13,077	    85.71
1056.	lista	   13,060	    85.60
1057.	nacionales	   13,060	    85.60
1058.	funciones	   13,057	    85.58
1059.	leyes	   13,046	    85.51
1060.	acceso 	   13,025	    85.37
1061.	técnico	   13,022	    85.35
1062.	visión	   13,008	    85.26
1063.	preguntó	   12,997	    85.19
1064.	jesús	   12,989	    85.14
1065.	grave	   12,988	    85.13
1066.	tenga	   12,953	    84.90
1067.	lunes	   12,951	    84.89
1068.	aplicación	   12,947	    84.86
1069.	junta	   12,909	    84.61
1070.	lugares	   12,907	    84.60
1071.	verano	   12,897	    84.53
1072.	capítulo	   12,887	    84.47
1073.	éstos	   12,881	    84.43
1074.	pensamiento 	   12,873	    84.38
1075.	york	   12,832	    84.11
1076.	frecuencia	   12,826	    84.07
1077.	gestión	   12,826	    84.07
1078.	viernes	   12,790	    83.83
1079.	javier	   12,777	    83.75
1080.	sitio	   12,776	    83.74
1081.	agosto 	   12,771	    83.71
1082.	propiedad	   12,768	    83.69
1083.	profesionales	   12,765	    83.67
1084.	últimas	   12,764	    83.66
1085.	gusta	   12,748	    83.56
1086.	objetivos	   12,745	    83.54
1087.	movimientos 	   12,700	    83.24
1088.	alcalde	   12,693	    83.20
1089.	ejecutivo	   12,680	    83.11
1090.	ciudadanos 	   12,676	    83.08
1091.	necesidades 	   12,673	    83.06
1092.	exposición	   12,660	    82.98
1093.	término	   12,645	    82.88
1094.	veinte	   12,600	    82.59
1095.	cuál	   12,596	    82.56
1096.	clara	   12,595	    82.55
1097.	altura	   12,585	    82.49
1098.	pequeños 	   12,578	    82.44
1099.	presión	   12,570	    82.39
1100.	moral	   12,560	    82.32
1101.	lograr	   12,559	    82.32
1102.	comité 	   12,519	    82.06
1103.	teléfono	   12,510	    82.00
1104.	asuntos 	   12,508	    81.98
1105.	peligro	   12,498	    81.92
1106.	escena 	   12,475	    81.77
1107.	gusto	   12,470	    81.73
1108.	palacio	   12,470	    81.73
1109.	hotel	   12,446	    81.58
1110.	colombia 	   12,430	    81.47
1111.	aseguró 	   12,427	    81.45
1112.	isla	   12,420	    81.41
1113.	guardia	   12,415	    81.37
1114.	confianza	   12,409	    81.33
1115.	ciudades 	   12,398	    81.26
1116.	esperar	   12,392	    81.22
1117.	café	   12,353	    80.97
1118.	demanda  	   12,349	    80.94
1119.	personajes 	   12,330	    80.82
1120.	directamente 	   12,323	    80.77
1121.	salió	   12,317	    80.73
1122.	discurso	   12,310	    80.69
1123.	sánchez 	   12,310	    80.69
1124.	representantes	   12,292	    80.57
1125.	normal 	   12,289	    80.55
1126.	pena 	   12,272	    80.44
1127.	jugadores	   12,257	    80.34
1128.	supone 	   12,231	    80.17
1129.	industrial	   12,220	    80.10
1130.	referencia	   12,205	    80.00
1131.	febrero	   12,200	    79.96
1132.	entender	   12,195	    79.93
1133.	esté	   12,191	    79.91
1134.	física	   12,184	    79.86
1135.	dejado	   12,174	    79.79
1136.	alimentos	   12,172	    79.78
1137.	pies	   12,169	    79.76
1138.	doña 	   12,159	    79.70
1139.	protección	   12,149	    79.63
1140.	autores	   12,131	    79.51
1141.	marido 	   12,108	    79.36
1142.	podrían	   12,106	    79.35
1143.	llamada 	   12,090	    79.24
1144.	brazos 	   12,083	    79.20
1145.	intervención	   12,079	    79.17
1146.	sal	   12,076	    79.15
1147.	páginas 	   12,072	    79.13
1148.	nueve 	   12,053	    79.00
1149.	pueblos 	   12,048	    78.97
1150.	temporada 	   12,035	    78.88
1151.	tus	   12,019	    78.78
1152.	abajo	   11,985	    78.56
1153.	aquello	   11,983	    78.54
1154.	maestro 	   11,975	    78.49
1155.	internacionales	   11,974	    78.48
1156.	técnicas	   11,968	    78.44
1157.	estás	   11,947	    78.31
1158.	esposa 	   11,922	    78.14
1159.	crítica	   11,908	    78.05
1160.	totalmente	   11,894	    77.96
1161.	perder	   11,890	    77.93
1162.	venta	   11,882	    77.88
1163.	finales	   11,874	    77.83
1164.	ramón 	   11,856	    77.71
1165.	contar	   11,855	    77.70
1166.	diferencias	   11,842	    77.62
1167.	familiar	   11,842	    77.62
1168.	martínez	   11,842	    77.62
1169.	kilómetros	   11,837	    77.59
1170.	mala 	   11,835	    77.57
1171.	fundamental 	   11,820	    77.47
1172.	enorme 	   11,815	    77.44
1173.	puedan 	   11,815	    77.44
1174.	líneas	   11,802	    77.36
1175.	ofrece	   11,794	    77.30
1176.	comercial	   11,790	    77.28
1177.	pan 	   11,785	    77.24
1178.	aires	   11,781	    77.22
1179.	profesor	   11,775	    77.18
1180.	inversión	   11,752	    77.03
1181.	municipal	   11,750	    77.01
1182.	declaraciones	   11,735	    76.92
1183.	funcionarios	   11,734	    76.91
1184.	aguas 	   11,732	    76.90
1185.	responsable 	   11,731	    76.89
1186.	sábado 	   11,715	    76.79
1187.	alguno	   11,712	    76.77
1188.	federal	   11,712	    76.77
1189.	señala	   11,673	    76.51
1190.	conflicto	   11,672	    76.50
1191.	dicha	   11,660	    76.42
1192.	efe	   11,660	    76.42
1193.	dirigentes	   11,645	    76.33
1194.	cambiar 	   11,644	    76.32
1195.	superficie	   11,632	    76.24
1196.	necesita	   11,627	    76.21
1197.	estudiantes	   11,601	    76.04
1198.	tantos	   11,601	    76.04
1199.	golpe	   11,569	    75.83
1200.	públicos	   11,563	    75.79
1201.	públicas	   11,561	    75.78
1202.	equipos 	   11,555	    75.74
1203.	literatura	   11,517	    75.49
1204.	pruebas 	   11,502	    75.39
1205.	alemania 	   11,499	    75.37
1206.	circunstancias	   11,479	    75.24
1207.	tienes	   11,471	    75.19
1208.	documento  	   11,468	    75.17
1209.	fiesta	   11,448	    75.04
1210.	simplemente 	   11,448	    75.04
1211.	enrique	   11,443	    75.00
1212.	aceite	   11,431	    74.92
1213.	establecer	   11,431	    74.92
1214.	médicos 	   11,416	    74.83
1215.	eres	   11,414	    74.81
1216.	locales	   11,407	    74.77
1217.	empezó  	   11,400	    74.72
1218.	pobre	   11,397	    74.70
1219.	debería	   11,391	    74.66
1220.	llevó	   11,389	    74.65
1221.	parlamento 	   11,362	    74.47
1222.	territorio	   11,351	    74.40
1223.	sale	   11,346	    74.37
1224.	treinta	   11,345	    74.36
1225.	coche 	   11,337	    74.31
1226.	clases	   11,331	    74.27
1227.	afirma	   11,326	    74.24
1228.	oficiales	   11,319	    74.19
1229.	diálogo	   11,314	    74.16
1230.	vi	   11,314	    74.16
1231.	respeto	   11,285	    73.97
1232.	tratado	   11,282	    73.95
1233.	llevaba	   11,278	    73.92
1234.	revista	   11,262	    73.82
1235.	copa 	   11,253	    73.76
1236.	pintura	   11,242	    73.68
1237.	nombres 	   11,241	    73.68
1238.	propósito	   11,240	    73.67
1239.	leche	   11,239	    73.67
1240.	actualidad	   11,229	    73.60
1241.	constituye	   11,218	    73.53
1242.	tarea	   11,215	    73.51
1243.	alcanzar	   11,206	    73.45
1244.	competencia 	   11,204	    73.44
1245.	normas 	   11,188	    73.33
1246.	plata	   11,177	    73.26
1247.	vecinos	   11,172	    73.23
1248.	fenómeno 	   11,158	    73.13
1249.	intención	   11,157	    73.13
1250.	dando 	   11,151	    73.09
1251.	diputados	   11,146	    73.06
1252.	judicial	   11,134	    72.98
1253.	cualquiera	   11,124	    72.91
1254.	fe	   11,115	    72.85
1255.	jornada	   11,097	    72.73
1256.	italia	   11,076	    72.60
1257.	ganar	   11,074	    72.58
1258.	candidato	   11,070	    72.56
1259.	calor	   11,067	    72.54
1260.	esperanza 	   11,062	    72.50
1261.	recién	   11,057	    72.47
1262.	suele	   11,055	    72.46
1263.	miles	   11,034	    72.32
1264.	ritmo	   11,016	    72.20
1265.	vive	   11,016	    72.20
1266.	quizás	   11,011	    72.17
1267.	pasos 	   11,009	    72.16
1268.	sensación 	   11,008	    72.15
1269.	representación	   11,005	    72.13
1270.	presidencia	   11,004	    72.12
1271.	triunfo	   11,001	    72.11
1272.	ayuntamiento 	   10,995	    72.07
1273.	plantas	   10,989	    72.03
1274.	niña	   10,987	    72.01
1275.	frío	   10,983	    71.99
1276.	tono	   10,983	    71.99
1277.	compañeros  	   10,974	    71.93
1278.	quieren	   10,960	    71.84
1279.	pesos 	   10,951	    71.78
1280.	delante	   10,949	    71.76
1281.	propias	   10,948	    71.76
1282.	plano	   10,939	    71.70
1283.	enfermedades  	   10,916	    71.55
1284.	institución	   10,916	    71.55
1285.	edificio	   10,901	    71.45
1286.	nota	   10,899	    71.44
1287.	franco	   10,897	    71.42
1288.	jugar	   10,886	    71.35
1289.	the	   10,881	    71.32
1290.	representa	   10,864	    71.21
1291.	gesto	   10,844	    71.08
1292.	mensaje 	   10,836	    71.02
1293.	vasco 	   10,831	    70.99
1294.	pudiera	   10,812	    70.87
1295.	gómez  	   10,811	    70.86
1296.	influencia	   10,811	    70.86
1297.	pocas 	   10,805	    70.82
1298.	realizado	   10,795	    70.75
1299.	conducta 	   10,792	    70.74
1300.	objetos	   10,786	    70.70
1301.	tamaño 	   10,778	    70.64
1302.	provincia	   10,775	    70.62
1303.	europeo 	   10,770	    70.59
1304.	verde	   10,769	    70.58
1305.	informó	   10,765	    70.56
1306.	escribir	   10,760	    70.53
1307.	materiales	   10,759	    70.52
1308.	eduardo 	   10,757	    70.51
1309.	cumplir	   10,756	    70.50
1310.	pidió	   10,755	    70.49
1311.	alumnos 	   10,752	    70.47
1312.	ámbito 	   10,747	    70.44
1313.	muertos 	   10,747	    70.44
1314.	explica	   10,746	    70.43
1315.	consecuencias  	   10,745	    70.43
1316.	refiere	   10,721	    70.27
1317.	comer 	   10,716	    70.24
1318.	fines	   10,693	    70.09
1319.	versión	   10,662	    69.88
1320.	abierto	   10,661	    69.88
1321.	debate 	   10,657	    69.85
1322.	barrio	   10,656	    69.84
1323.	labor	   10,656	    69.84
1324.	fondos	   10,650	    69.80
1325.	justo	   10,635	    69.71
1326.	tradición	   10,633	    69.69
1327.	diferente	   10,628	    69.66
1328.	piensa	   10,624	    69.63
1329.	tecnología	   10,620	    69.61
1330.	mantiene 	   10,609	    69.54
1331.	situaciones	   10,597	    69.46
1332.	fase	   10,593	    69.43
1333.	histórico	   10,592	    69.42
1334.	agentes 	   10,591	    69.42
1335.	planta	   10,588	    69.40
1336.	venezuela 	   10,579	    69.34
1337.	f	   10,571	    69.29
1338.	actuación	   10,567	    69.26
1339.	iban	   10,556	    69.19
1340.	actos	   10,547	    69.13
1341.	posibles	   10,545	    69.12
1342.	león	   10,541	    69.09
1343.	mamá  	   10,525	    68.99
1344.	velocidad	   10,520	    68.95
1345.	familiares	   10,505	    68.85
1346.	especies 	   10,499	    68.81
1347.	cabe 	   10,491	    68.76
1348.	asamblea 	   10,483	    68.71
1349.	comunidades  	   10,458	    68.55
1350.	museo  	   10,449	    68.49
1351.	conferencia	   10,442	    68.44
1352.	prácticamente 	   10,437	    68.41
1353.	autoridad	   10,435	    68.40
1354.	sujeto	   10,431	    68.37
1355.	alfonso	   10,430	    68.36
1356.	tratar	   10,426	    68.34
1357.	hacerse 	   10,418	    68.28
1358.	pérdida	   10,416	    68.27
1359.	dificultades	   10,411	    68.24
1360.	rato	   10,410	    68.23
1361.	pagar	   10,407	    68.21
1362.	colegio	   10,396	    68.14
1363.	sabes 	   10,391	    68.11
1364.	l	   10,383	    68.05
1365.	personaje	   10,380	    68.03
1366.	áreas	   10,363	    67.92
1367.	audiencia	   10,361	    67.91
1368.	doce 	   10,355	    67.87
1369.	haga 	   10,352	    67.85
1370.	periódico	   10,351	    67.84
1371.	v	   10,351	    67.84
1372.	distribución	   10,343	    67.79
1373.	ausencia 	   10,342	    67.79
1374.	entrevista	   10,314	    67.60
1375.	recibió	   10,309	    67.57
1376.	añadió	   10,308	    67.56
1377.	cocina	   10,307	    67.56
1378.	edición	   10,301	    67.52
1379.	económicos  	   10,291	    67.45
1380.	naturales	   10,288	    67.43
1381.	parecer	   10,286	    67.42
1382.	santo	   10,285	    67.41
1383.	vieja	   10,282	    67.39
1384.	mario	   10,251	    67.19
1385.	corresponde 	   10,250	    67.18
1386.	decidió	   10,243	    67.14
1387.	perú	   10,243	    67.14
1388.	llegada	   10,230	    67.05
1389.	comienza 	   10,224	    67.01
1390.	organizaciones 	   10,218	    66.97
1391.	tendencia	   10,199	    66.85
1392.	escenario	   10,188	    66.78
1393.	definitiva	   10,187	    66.77
1394.	deberá 	   10,174	    66.68
1395.	indicó	   10,173	    66.68
1396.	noticia	   10,173	    66.68
1397.	inglés	   10,157	    66.57
1398.	reina	   10,153	    66.55
1399.	ustedes 	   10,149	    66.52
1400.	madera 	   10,134	    66.42
1401.	alemán 	   10,115	    66.30
1402.	habitantes	   10,114	    66.29
1403.	recibir	   10,112	    66.28
1404.	salvo	   10,110	    66.26
1405.	familias	   10,102	    66.21
1406.	miembro 	   10,100	    66.20
1407.	escritor	   10,096	    66.17
1408.	conoce 	   10,091	    66.14
1409.	cuidado 	   10,089	    66.13
1410.	identidad	   10,086	    66.11
1411.	quiso	   10,068	    65.99
1412.	pareja	   10,055	    65.90
1413.	evidente	   10,054	    65.90
1414.	brasil	   10,048	    65.86
1415.	ciertos	   10,043	    65.83
1416.	siguen	   10,035	    65.77
1417.	declaración	   10,031	    65.75
1418.	cadena 	   10,027	    65.72
1419.	acaba 	   10,016	    65.65
1420.	consiste	   10,008	    65.60
1421.	presentación	   10,008	    65.60
1422.	cuentas 	   10,007	    65.59
1423.	azul	    9,981	    65.42
1424.	década 	    9,979	    65.41
1425.	puertas	    9,978	    65.40
1426.	comida 	    9,977	    65.39
1427.	inmediato	    9,971	    65.35
1428.	marca 	    9,965	    65.31
1429.	antiguo	    9,961	    65.29
1430.	rojo	    9,958	    65.27
1431.	debemos  	    9,957	    65.26
1432.	instante	    9,940	    65.15
1433.	operaciones 	    9,925	    65.05
1434.	iniciativa	    9,924	    65.05
1435.	caer	    9,919	    65.01
1436.	luna	    9,912	    64.97
1437.	veía	    9,908	    64.94
1438.	verdadero	    9,902	    64.90
1439.	habitación	    9,889	    64.82
1440.	manifestó	    9,881	    64.76
1441.	tío	    9,880	    64.76
1442.	quedado 	    9,863	    64.65
1443.	martes 	    9,851	    64.57
1444.	pleno	    9,834	    64.46
1445.	declaró	    9,833	    64.45
1446.	juegos	    9,818	    64.35
1447.	mínimo 	    9,817	    64.34
1448.	aparición	    9,812	    64.31
1449.	estará	    9,812	    64.31
1450.	transporte	    9,793	    64.19
1451.	ven	    9,784	    64.13
1452.	pretende	    9,782	    64.11
1453.	tantas	    9,775	    64.07
1454.	sede 	    9,767	    64.02
1455.	comportamiento  	    9,766	    64.01
1456.	periodistas	    9,758	    63.96
1457.	animal	    9,757	    63.95
1458.	convertido	    9,755	    63.94
1459.	brazo	    9,737	    63.82
1460.	hermanos  	    9,723	    63.73
1461.	rico	    9,721	    63.71
1462.	anunció 	    9,720	    63.71
1463.	presupuesto 	    9,720	    63.71
1464.	estrategia	    9,711	    63.65
1465.	naciones 	    9,711	    63.65
1466.	utilizar	    9,711	    63.65
1467.	buenas 	    9,708	    63.63
1468.	compromiso  	    9,706	    63.62
1469.	acaso 	    9,688	    63.50
1470.	completo 	    9,686	    63.49
1471.	pelo	    9,677	    63.43
1472.	piedra	    9,675	    63.41
1473.	medicina 	    9,674	    63.41
1474.	campos  	    9,670	    63.38
1475.	liga	    9,662	    63.33
1476.	vaya	    9,656	    63.29
1477.	disposición	    9,641	    63.19
1478.	permanente 	    9,627	    63.10
1479.	método 	    9,626	    63.09
1480.	sentía	    9,626	    63.09
1481.	próxima 	    9,624	    63.08
1482.	tierras	    9,623	    63.07
1483.	error	    9,616	    63.03
1484.	incremento 	    9,612	    63.00
1485.	piso	    9,610	    62.99
1486.	socialistas	    9,610	    62.99
1487.	similar	    9,594	    62.88
1488.	viento	    9,594	    62.88
1489.	salvador	    9,586	    62.83
1490.	seres	    9,581	    62.80
1491.	posteriormente	    9,576	    62.76
1492.	dispuesto	    9,574	    62.75
1493.	poeta	    9,572	    62.74
1494.	económicas  	    9,560	    62.66
1495.	secreto	    9,552	    62.61
1496.	funcionamiento 	    9,538	    62.52
1497.	debajo	    9,535	    62.50
1498.	recordar	    9,528	    62.45
1499.	valencia	    9,519	    62.39
1500.	presentó	    9,494	    62.23
1501.	jueves	    9,491	    62.21
1502.	corriente	    9,490	    62.20
1503.	ingresos	    9,489	    62.19
1504.	intento	    9,484	    62.16
1505.	tuvieron	    9,473	    62.09
1506.	colores	    9,462	    62.02
1507.	altos	    9,459	    62.00
1508.	sevilla	    9,459	    62.00
1509.	hojas	    9,453	    61.96
1510.	probablemente 	    9,444	    61.90
1511.	búsqueda 	    9,435	    61.84
1512.	pequeñas 	    9,432	    61.82
1513.	oferta	    9,429	    61.80
1514.	washington 	    9,419	    61.74
1515.	cataluña	    9,413	    61.70
1516.	oficina	    9,400	    61.61
1517.	produjo	    9,394	    61.57
1518.	soldados 	    9,384	    61.51
1519.	pasada 	    9,362	    61.36
1520.	volumen 	    9,351	    61.29
1521.	parecen 	    9,345	    61.25
1522.	causas 	    9,342	    61.23
1523.	dieron	    9,337	    61.20
1524.	división	    9,323	    61.11
1525.	darle	    9,322	    61.10
1526.	clave	    9,321	    61.09
1527.	ana 	    9,316	    61.06
1528.	reciente	    9,316	    61.06
1529.	votos	    9,315	    61.05
1530.	logró	    9,289	    60.88
1531.	piernas	    9,285	    60.86
1532.	sirve	    9,284	    60.85
1533.	carmen 	    9,274	    60.78
1534.	deuda 	    9,271	    60.77
1535.	noticias	    9,266	    60.73
1536.	menores 	    9,264	    60.72
1537.	querido	    9,264	    60.72
1538.	pago 	    9,263	    60.71
1539.	fig	    9,258	    60.68
1540.	recuerda	    9,250	    60.63
1541.	podrán 	    9,247	    60.61
1542.	independencia 	    9,245	    60.59
1543.	ataque 	    9,240	    60.56
1544.	igualmente 	    9,235	    60.53
1545.	necesaria	    9,230	    60.50
1546.	quedan 	    9,229	    60.49
1547.	regional	    9,229	    60.49
1548.	castro	    9,227	    60.48
1549.	decisiones	    9,226	    60.47
1550.	concepción 	    9,224	    60.46
1551.	llegaron	    9,219	    60.42
1552.	siente	    9,218	    60.42
1553.	juntos	    9,216	    60.40
1554.	sabemos  	    9,216	    60.40
1555.	ropa	    9,212	    60.38
1556.	parque 	    9,209	    60.36
1557.	empresarios 	    9,208	    60.35
1558.	conmigo 	    9,206	    60.34
1559.	procedimiento 	    9,205	    60.33
1560.	suma 	    9,204	    60.33
1561.	elección	    9,201	    60.31
1562.	leer	    9,200	    60.30
1563.	feliz	    9,194	    60.26
1564.	ninguno 	    9,189	    60.23
1565.	continuación	    9,184	    60.19
1566.	ministros	    9,183	    60.19
1567.	verdadera	    9,173	    60.12
1568.	reacción	    9,170	    60.10
1569.	podían	    9,168	    60.09
1570.	tanta	    9,168	    60.09
1571.	tomó 	    9,162	    60.05
1572.	mente 	    9,147	    59.95
1573.	tradicional	    9,146	    59.95
1574.	abierta	    9,142	    59.92
1575.	breve	    9,139	    59.90
1576.	aparecen 	    9,136	    59.88
1577.	trataba	    9,120	    59.78
1578.	recibido	    9,110	    59.71
1579.	mejorar	    9,107	    59.69
1580.	ciertas	    9,104	    59.67
1581.	aparte	    9,101	    59.65
1582.	cárcel	    9,101	    59.65
1583.	entidad	    9,100	    59.64
1584.	investigaciones	    9,094	    59.61
1585.	temperatura 	    9,082	    59.53
1586.	siento	    9,079	    59.51
1587.	londres	    9,077	    59.49
1588.	directa	    9,076	    59.49
1589.	portavoz	    9,076	    59.49
1590.	eta	    9,071	    59.45
1591.	responsables 	    9,066	    59.42
1592.	ventana	    9,056	    59.36
1593.	contrato	    9,055	    59.35
1594.	elemento 	    9,053	    59.34
1595.	privada	    9,048	    59.30
1596.	quince	    9,040	    59.25
1597.	veo	    9,038	    59.24
